,word_count
said,99062
trump,54700
reuters,28976
president,28177
state,21025
government,18846
new,16917
states,16652
house,16640
republican,16243
united,15590
people,15287
year,14777
told,14245
washington,12988
party,12759
election,12306
campaign,10636
donald,10456
security,10162
percent,10012
north,9912
white,9556
court,9525
clinton,9522
obama,9406
senate,9253
country,8890
china,8865
minister,8682
officials,8479
week,8443
democratic,8387
foreign,8270
tuesday,8268
administration,8242
law,8228
national,8227
tax,8192
including,8123
military,8119
russia,8064
presidential,8039
wednesday,8014
years,7845
political,7723
thursday,7662
statement,7565
did,7482
time,7421
friday,7332
korea,7277
support,7154
monday,7097
group,7031
vote,6993
called,6804
republicans,6764
say,6698
office,6567
million,6492
congress,6492
federal,6456
committee,6400
000,6246
department,6175
according,6142
official,6141
police,6067
news,6032
russian,5992
saying,5983
trade,5964
deal,5892
iran,5802
policy,5774
month,5722
leader,5717
secretary,5645
general,5478
public,5447
city,5432
make,5426
nuclear,5350
countries,5271
rights,5247
democrats,5231
south,5196
eu,5111
senator,4985
meeting,4958
american,4888
leaders,4858
world,4825
war,4771
york,4743
international,4736
spokesman,4701
work,4695
long,4677
like,4677
agency,4596
day,4577
european,4483
just,4456
asked,4443
power,4423
media,4417
billion,4412
reporters,4396
going,4380
talks,4358
plan,4355
members,4343
help,4294
prime,4289
decision,4273
forces,4222
sanctions,4187
islamic,4170
chief,4111
economic,4102
groups,4098
end,4093
lawmakers,4056
syria,4038
think,4034
opposition,4016
border,4012
2016,3995
right,3982
comment,3956
order,3935
sunday,3926
senior,3923
way,3852
business,3844
intelligence,3840
expected,3825
earlier,3764
case,3749
want,3723
region,3681
legislation,3679
companies,3658
led,3641
al,3635
defense,3634
voters,3617
killed,3616
candidate,3612
britain,3564
added,3558
months,3553
need,3552
union,3548
days,3518
budget,3517
use,3502
change,3478
major,3461
far,3446
executive,3415
issue,3406
investigation,3404
nations,3403
program,3394
director,3393
justice,3389
based,3387
majority,3369
held,3352
reported,3351
barack,3350
saudi,3346
governor,3321
high,3312
likely,3312
agreement,3258
mexico,3256
says,3251
health,3247
control,3245
coalition,3239
financial,3222
conservative,3218
immigration,3183
took,3175
attacks,3159
report,3144
recent,3130
10,3127
don,3123
old,3114
ministry,3096
parliament,3096
left,3095
plans,3052
set,3029
member,3020
capital,2997
iraq,2987
moscow,2981
legal,2973
information,2967
later,2955
issues,2936
clear,2931
2015,2925
turkey,2900
used,2895
representatives,2889
attack,2882
crisis,2877
force,2873
head,2870
anti,2863
efforts,2855
possible,2851
ruling,2844
myanmar,2838
saturday,2833
local,2816
women,2812
home,2811
run,2794
human,2788
syrian,2783
backed,2778
seen,2778
air,2775
council,2774
